"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3916717";"SELONSERTIB";"3.0";"445.50";"0";"4.68";"EUB0000695a";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"1918.0";"nM";"5.72";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5445396";"Affinity Phenotypic Cellular interaction: (MTT assay (ABCG2-substrate-selected resistant cell line S1-M1-80, Cisplatin treatment, using 0 uM Selonsertib)) EUB0000695a MAP3K5";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"S1-M1-80";"None";"Mode of action: Inhibitor | Protein family: Protein kinase | Recommended concentration = 100.0 nM";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5444388";"65";"EUbOPEN Chemogenomic Library Literature Data";"";"2024";"CHEMBL4630712";"Affinity Phenotypic Cellular Source Knowledge: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8132112/";"";"";"1918.0"
"CHEMBL1688215";"";"None";"226.24";"0";"1.18";"19";"Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1";"IC50";"'='";"5690.0";"nM";"5.25";"";"";"UO_0000065";"23.18";"0.42";"4.06";"4.92";"0";"CHEMBL1696297";"Inhibition of ASK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687694";"1";"Scientific Literature";"ACS Med Chem Lett";"2010";"None";"";"";"";"5.69"
"CHEMBL4442116";"";"None";"349.39";"0";"3.01";"89";"C[C@@H]1CCn2cnnc2-c2cccc(n2)NC(=O)c2ccccc2OC1";"IC50";"'<='";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4385322";"Inhibition of recombinant V5-tagged ASK1 (unknown origin) expressed in HEK293 cells assessed as reduction in ASK1 autophosphorylation at T838 residue after 1 hr by MSD assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4382281";"1";"Scientific Literature";"ACS Med Chem Lett";"2019";"CHEMBL3307715";"";"";"";"1.0"
"CHEMBL4865259";"";"None";"357.37";"0";"0.89";"5";"COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C(C)CO)n1";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"22.82";"0.43";"7.26";"6.80";"0";"CHEMBL4845477";"Inhibition of ASK1 (unknown origin) using myelin basic protein as substrate preincubated for 20 mins followed by 33P-ATP addition and measured after 2 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.333 hr";"INHIBITOR";"";"7.0"
"CHEMBL4867281";"";"None";"371.40";"0";"1.54";"7";"COC[C@H](C)n1cnnc1-c1cccc(NC(=O)c2cn(C)nc2OC)n1";"IC50";"'='";"793.0";"nM";"6.10";"";"";"UO_0000065";"16.43";"0.31";"4.56";"5.60";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"793.0"
"CHEMBL4878163";"";"None";"377.36";"0";"2.16";"14";"COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)F)n1";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"21.61";"0.41";"5.99";"8.18";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"7.0"
"CHEMBL4871543";"";"None";"435.41";"0";"3.33";"19";"COc1nn(CC2CC2)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"18.48";"0.35";"4.72";"8.07";"0";"CHEMBL4845478";"Inhibition of full-length human ASK1 expressed in HEK293T cells assessed as reduction in autophosphorylation of ASK1 at T383 residue incubated for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"9.0"
"CHEMBL3431228";"";"None";"268.28";"0";"2.05";"7";"CC(=O)Nc1cccc(Nc2ncnc3[nH]cnc23)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4184745";"Inhibition of stress-activated full length recombinant human N-terminal GST-tagged ASK1 expressed in baculovirus expression system using MKK6 as substrate pretreated for 10 mins followed by substrate addition by Alphascreen assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4184100";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";"";"10.0"
"CHEMBL4211961";"";"None";"278.32";"0";"3.33";"12";"CC(=O)Nc1cccc(Nc2ncc3ccccc3n2)c1";"IC50";"'='";"900.0";"nM";"6.05";"";"";"UO_0000065";"21.72";"0.39";"2.72";"9.04";"0";"CHEMBL4184745";"Inhibition of stress-activated full length recombinant human N-terminal GST-tagged ASK1 expressed in baculovirus expression system using MKK6 as substrate pretreated for 10 mins followed by substrate addition by Alphascreen assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4184100";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";"";"0.9"
"CHEMBL3960900";"";"None";"307.36";"0";"3.17";"4";"CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2)n1";"IC50";"'='";"398.11";"nM";"6.40";"";"";"UO_0000065";"20.82";"0.38";"3.23";"8.80";"0";"CHEMBL3879746";"Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf21";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3877336";"1";"Scientific Literature";"ACS Med Chem Lett";"2017";"CHEMBL4106362";"";"";"";"6.4"
"CHEMBL3981026";"";"None";"336.37";"0";"3.84";"5";"Cc1cc(F)c(C(=O)Nc2ccccn2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"6309.57";"nM";"5.20";"";"";"UO_0000065";"15.46";"0.28";"1.36";"8.69";"0";"CHEMBL3879746";"Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf21";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3877336";"1";"Scientific Literature";"ACS Med Chem Lett";"2017";"CHEMBL4106362";"";"";"";"5.2"
"CHEMBL3916717";"SELONSERTIB";"3.0";"445.50";"0";"4.68";"GS-4997";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"17.44";"0.32";"3.09";"8.58";"0";"CHEMBL5346658";"Inhibition of human full length recombinant ASK1 (654 to 971 residues) expressed in Sf21 cells using STK-substrate 3-biotin as substrate incubated for 2 hrs in presence of ATP followed by STK S3 Antibody-Eu addition and measured after 1 hr by homogeneous time resolved fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf21";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5344477";"1";"Scientific Literature";"RSC Med Chem";"2024";"None";"TIME = 3.0 hr";"INHIBITOR";"";"17.0"
"CHEMBL4744430";"";"None";"289.34";"0";"2.88";"11b";"CC(C)OC(=O)Nc1cccc(-c2nncn2C(C)C)n1";"IC50";"'='";"473.1";"nM";"6.33";"";"";"UO_0000065";"21.86";"0.41";"3.45";"7.72";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"473.1"
"CHEMBL4750505";"";"None";"322.37";"0";"3.57";"11e";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccc2)n1";"IC50";"'='";"2838.0";"nM";"5.55";"";"";"UO_0000065";"17.21";"0.32";"1.98";"6.55";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"2838.0"
"CHEMBL4795965";"";"None";"373.42";"0";"4.11";"13c";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc3ccccc3n2)n1";"IC50";"'='";"69.1";"nM";"7.16";"";"";"UO_0000065";"19.18";"0.35";"3.05";"7.34";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"69.1"
"CHEMBL4754359";"";"None";"362.40";"0";"3.21";"13m";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnn3ccccc23)n1";"IC50";"'='";"3646.0";"nM";"5.44";"";"";"UO_0000065";"15.01";"0.28";"2.23";"5.33";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"3646.0"
"CHEMBL4744931";"";"None";"403.45";"0";"3.36";"11m";"CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-c3ccn(C)n3)cn2)n1";"IC50";"'='";"64.2";"nM";"7.19";"";"";"UO_0000065";"17.83";"0.33";"3.83";"6.23";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"64.2"
"CHEMBL4764071";"";"None";"389.42";"0";"3.09";"14a";"C[C@H](CO)n1cnnc1-c1cccc(NC(=O)Nc2nccc3ccccc23)n1";"IC50";"'='";"37.9";"nM";"7.42";"";"";"UO_0000065";"19.06";"0.35";"4.33";"6.30";"0";"CHEMBL4686914";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"37.9"
"CHEMBL4783726";"";"None";"411.47";"0";"3.99";"2; GS-444217";"O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1";"IC50";"'='";"2.87";"nM";"8.54";"";"";"UO_0000065";"20.76";"0.38";"4.55";"9.44";"0";"CHEMBL4686963";"Inhibition of ASK1 (unknown origin) by competitive TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680251";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"2.87"
"CHEMBL4860819";"";"None";"395.35";"0";"2.46";"11";"COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"21.56";"0.42";"6.06";"8.54";"0";"CHEMBL4845477";"Inhibition of ASK1 (unknown origin) using myelin basic protein as substrate preincubated for 20 mins followed by 33P-ATP addition and measured after 2 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4842388";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.333 hr";"INHIBITOR";"";"3.0"
"CHEMBL4874376";"";"None";"319.32";"0";"2.97";"7";"Cc1c(C(=O)Nc2cccc(-n3cnnn3)c2)oc2ccccc12";"IC50";"'='";"16700.0";"nM";"4.78";"";"";"UO_0000065";"14.96";"0.27";"1.81";"5.57";"0";"CHEMBL4820058";"Inhibition of N-terminal GST-tagged recombinant human full length ASK1 expressed in baculovirus-infected Sf21 cells using STK-Substrate-3 biotin as substrate in presence of ATP measured after 2 hrs by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf21";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4819011";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"TIME = 2.0 hr";"INHIBITOR";"";"16700.0"
"CHEMBL4744428";"";"None";"433.52";"0";"3.04";"10";"CC(C)n1cnnc1-c1cccc(NC(=O)[C@H]2CN(c3ccc(C4CC4)nc3)CCO2)n1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"17.92";"0.33";"4.73";"7.92";"0";"CHEMBL4727543";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4725315";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"";"INHIBITOR";"";"17.0"
